0	0
1	2
2	3
3	1
4	9
5	8
6	5
7	6
8	7
9	4
10	專
11	店
12	大
13	美
14	中
15	車
16	行
17	品
18	線
19	電
20	新
21	小
22	公
23	家
24	業
25	一
26	國
27	所
28	麵
29	生
30	肉
31	館
32	食
33	台
34	工
35	醫
36	茶
37	心
38	金
39	味
40	司
41	機
42	日
43	診
44	水
45	市
46	學
47	有
48	服
49	手
50	科
51	式
52	安
53	餐
54	飯
55	藥
56	三
57	北
58	理
59	香
60	號
61	路
62	人
63	全
64	園
65	訂
66	賣
67	元
68	花
69	限
70	上
71	文
72	樂
73	務
74	南
75	保
76	雞
77	會
78	好
79	地
80	精
81	福
82	子
83	的
84	牛
85	華
86	豆
87	山
88	物
89	天
90	門
91	東
92	髮
93	光
94	鍋
95	加
96	海
97	鮮
98	牙
99	興
100	動
101	和
102	用
103	約
104	時
105	購
106	屋
107	高
108	立
109	區
110	商
111	樓
112	寶
113	本
114	場
115	湯
116	藝
117	老
118	年
119	設
120	排
121	燒
122	健
123	民
124	外
125	自
126	不
127	房
128	料
129	堂
130	分
131	局
132	龍
133	修
134	話
135	特
136	預
137	合
138	平
139	具
140	灣
141	永
142	請
143	送
144	名
145	信
146	五
147	教
148	德
149	活
150	泰
151	汽
152	口
153	油
154	眼
155	義
156	林
157	發
158	廣
159	坊
160	康
161	魚
162	代
163	成
164	咖
165	營
166	師
167	正
168	米
169	產
170	班
171	建
172	社
173	養
174	原
175	阿
176	作
177	明
178	板
179	兒
180	豐
181	創
182	皮
183	化
184	二
185	頭
186	冰
187	包
188	西
189	裝
190	早
191	飾
192	洗
193	點
194	星
195	利
196	體
197	銀
198	果
199	鏡
200	客
201	第
202	百
203	紅
204	士
205	各
206	記
207	盟
208	王
209	材
210	器
211	位
212	吉
213	烤
214	力
215	道
216	出
217	間
218	衣
219	來
220	古
221	啡
222	團
223	法
224	計
225	街
226	仁
227	城
228	當
229	富
230	旅
231	程
232	飲
233	內
234	布
235	愛
236	吃
237	製
238	清
239	佳
240	蛋
241	停
242	麗
243	方
244	炒
245	書
246	院
247	價
248	風
249	傳
250	聯
251	際
252	容
253	站
254	貨
255	骨
256	沙
257	現
258	菜
259	府
260	型
261	餅
262	維
263	尚
264	室
265	語
266	運
267	舖
268	無
269	石
270	世
271	木
272	開
273	術
274	長
275	護
276	氣
277	可
278	陽
279	通
280	酒
281	技
282	廠
283	事
284	禮
285	竹
286	補
287	便
288	臺
289	之
290	四
291	粉
292	廚
293	費
294	進
295	素
296	達
297	宏
298	豬
299	萬
300	字
301	多
302	牌
303	月
304	拉
305	音
306	主
307	仔
308	助
309	麻
310	租
311	熱
312	青
313	經
314	期
315	雅
316	快
317	影
318	慶
319	優
320	火
321	甲
322	桃
323	辣
324	統
325	昌
326	歡
327	造
328	下
329	彩
330	照
331	意
332	壢
333	份
334	十
335	鞋
336	玉
337	印
338	數
339	連
340	空
341	英
342	亞
343	選
344	圓
345	處
346	買
347	身
348	土
349	定
350	神
351	奶
352	里
353	珠
354	春
355	證
356	股
357	鐵
358	幼
359	政
360	免
361	田
362	鴨
363	嘉
364	視
365	真
366	告
367	企
368	段
369	橋
370	總
371	入
372	迎
373	集
374	草
375	緻
376	腦
377	冷
378	斯
379	八
380	習
381	部
382	治
383	黑
384	松
385	超
386	六
387	莊
388	酥
389	童
390	源
391	配
392	格
393	滷
394	週
395	炸
396	系
397	農
398	環
399	糖
400	售
401	黃
402	檢
403	滿
404	韓
405	九
406	療
407	遊
408	白
409	鎖
410	級
411	榮
412	收
413	居
414	您
415	前
416	復
417	乾
418	甜
419	最
420	漢
421	港
422	帆
423	洋
424	然
425	巷
426	順
427	益
428	卡
429	基
430	午
431	整
432	在
433	聖
434	堡
435	質
436	享
437	喜
438	太
439	實
440	珍
441	指
442	壓
443	調
444	廳
445	面
446	私
447	每
448	色
449	驗
450	輪
451	資
452	膚
453	都
454	展
455	件
456	剪
457	直
458	陳
459	摩
460	女
461	隆
462	檳
463	餃
464	登
465	辦
466	媽
467	京
468	馬
469	防
470	起
471	片
472	汁
473	雙
474	粥
475	川
476	糕
477	俱
478	誠
479	烘
480	瑞
481	流
482	祥
483	千
484	管
485	燙
486	佛
487	男
488	能
489	奇
490	休
491	感
492	批
493	訊
494	娃
495	榔
496	欣
497	速
498	育
499	爾
500	球
501	忠
502	葉
503	雲
504	晶
505	村
506	我
507	玩
508	寵
509	財
510	景
511	詢
512	重
513	夏
514	課
515	得
516	你
517	角
518	是
519	芳
520	昇
521	到
522	窗
523	關
524	皇
525	界
526	典
527	婦
528	捷
529	鄉
530	綠
531	轉
532	網
533	絲
534	鐘
535	先
536	勝
537	毛
538	傢
539	打
540	惠
541	床
542	族
543	改
544	焙
545	越
546	雄
547	鴻
548	同
549	蝦
550	就
551	恩
552	楊
553	員
554	放
555	單
556	壽
557	銷
558	錶
559	鎮
560	貝
561	推
562	漿
563	盒
564	承
565	鼎
566	威
567	歐
568	梅
569	至
570	溫
571	泡
572	禾
573	婚
574	相
575	為
576	冠
577	招
578	頂
579	幸
580	蔬
581	回
582	禁
583	耳
584	蘭
585	謝
586	報
587	微
588	振
589	森
590	仙
591	揚
592	夾
593	協
594	善
595	坪
596	友
597	圖
598	目
599	勿
600	極
601	觀
602	消
603	巧
604	軒
605	豪
606	鑫
607	切
608	庭
609	接
610	種
611	形
612	親
613	盛
614	腐
615	遠
616	販
617	量
618	性
619	良
620	鋼
621	杯
622	庫
623	洽
624	足
625	宮
626	克
627	蔘
628	張
629	潔
630	輕
631	險
632	夜
633	紀
634	提
635	捲
636	羅
637	周
638	諮
639	博
640	交
641	顧
642	帶
643	久
644	腸
645	零
646	升
647	按
648	凱
649	度
650	衛
651	苑
652	畫
653	以
654	病
655	哥
656	於
657	睫
658	止
659	裕
660	舒
661	思
662	貼
663	串
664	者
665	做
666	伊
667	巴
668	條
669	券
670	瑪
671	江
672	塑
673	艾
674	純
675	乳
676	蚵
677	套
678	款
679	埔
680	非
681	折
682	御
683	旺
684	校
685	戶
686	使
687	腳
688	常
689	丸
690	智
691	哩
692	易
693	羊
694	悅
695	貓
696	波
697	尺
698	鼻
699	妝
700	麥
701	聚
702	施
703	縣
704	列
705	瓜
706	蜜
707	膠
708	附
709	億
710	群
711	隊
712	慢
713	染
714	漆
715	及
716	胎
717	醬
718	紙
719	強
720	宇
721	職
722	律
723	夢
724	孝
725	膜
726	焿
727	藍
728	研
729	功
730	後
731	短
732	首
733	晚
734	七
735	念
736	冬
737	像
738	飛
739	考
740	宗
741	類
742	臭
743	甘
744	旗
745	鬆
746	腿
747	脆
748	權
749	采
750	吳
751	領
752	干
753	涼
754	想
755	臨
756	燈
757	泉
758	宜
759	朵
760	持
761	州
762	池
763	假
764	桌
765	a
766	b
767	c
768	d
769	e
770	f
771	g
772	h
773	i
774	j
775	k
776	l
777	m
778	n
779	o
780	p
781	q
782	r
783	s
784	t
785	u
786	v
787	w
788	x
789	y
790	z
